timestamp,cluster,nodes_owned,nodes_borrowed,nodes_offered,nodes_cur_cap,nodes_inuse,nodes_indemand,jobs_waiting,jobs_running,jobs_done,jobs_rerun,cores_owned,cores_cur_cap,cores_inuse,cores_indemand
31179,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31180,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31181,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31182,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31183,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31184,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31185,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31186,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31187,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31188,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31189,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31190,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31191,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31192,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31193,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31194,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31195,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31196,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31197,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31198,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31199,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31200,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31201,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31202,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31203,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31204,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31205,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31206,bigdata_main,26,0,0,26,18,0,236,162,3250,0,624,624,324,NA
31207,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31208,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31209,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31210,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31211,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31212,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31213,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31214,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31215,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31216,bigdata_main,26,0,0,26,18,0,238,162,3250,0,624,624,324,NA
31217,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31218,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31219,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31220,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31221,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31222,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31223,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31224,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31225,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31226,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31227,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31228,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31229,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31230,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31231,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31232,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31233,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31234,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31235,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31236,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31237,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31238,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31239,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31240,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31241,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31242,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31243,bigdata_main,26,0,0,26,18,0,238,161,3251,0,624,624,322,NA
31244,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31245,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31246,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31247,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31248,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31249,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31250,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31251,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31252,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31253,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31254,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31255,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31256,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31257,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31258,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31259,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31260,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31261,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31262,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31263,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31264,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31265,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31266,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31267,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31268,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31269,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31270,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31271,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31272,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31273,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31274,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31275,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31276,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31277,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31278,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31279,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31280,bigdata_main,26,0,0,26,18,0,241,161,3251,0,624,624,322,NA
31281,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31282,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31283,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31284,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31285,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31286,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31287,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31288,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31289,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31290,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31291,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
