start_time,lifespan,cores,job_id
8202,1031,1,9678_1
8202,1031,1,9678_2
8204,1097,1,9681_1
8204,1097,1,9681_2
8204,693,1,9684_1
8204,693,1,9684_2
8204,920,1,9686_1
8204,920,1,9686_2
8218,858,1,9689_1
8218,858,1,9689_2
8223,248,1,9692_1
8223,356,1,9694_1
8223,470,1,9697_1
8223,549,1,9700_1
8223,578,1,9702_1
8240,1053,1,9719_1
8240,1053,1,9719_2
8244,279,1,9723_1
8244,279,1,9723_2
8244,321,1,9725_1
8244,321,1,9725_2
8265,303,1,9743_1
8265,303,1,9743_2
8317,225,1,9829_1
8317,225,1,9829_2
8343,238,1,9865_1
8343,310,1,9868_1
8343,331,1,9870_1
8343,350,1,9873_1
8343,426,1,9876_1
8343,548,1,9878_1
8347,7924,1,9887_1
8347,7924,1,9887_2
8347,7924,1,9887_3
8347,7924,1,9887_4
8351,200,1,9912_1
8419,261,1,10043_1
8420,4797,1,10056_1
8424,7846,1,10058_1
8424,7846,1,10058_2
8424,7846,1,10058_3
8424,7846,1,10058_4
8440,373,1,10062_1
8440,385,1,10065_1
8461,627,1,10068_1
8476,7794,1,10071_1
8476,7794,1,10071_2
8476,7794,1,10071_3
8476,7794,1,10071_4
8487,508,1,10075_1
8504,603,1,10078_1
8523,7748,1,10082_1
8523,7748,1,10082_2
8523,7748,1,10082_3
8523,7748,1,10082_4
8542,429,1,10087_1
8542,447,1,10089_1
8545,516,1,10092_1
8553,349,1,10096_1
8553,349,1,10096_2
8553,2235,1,10098_1
8578,594,1,10110_1
8597,379,1,10114_1
8597,379,1,10114_2
8605,225,1,10135_1
8605,431,1,10138_1
8608,287,1,10141_1
8608,287,1,10141_2
8608,314,1,10143_1
8608,314,1,10143_2
8616,6024,1,10149_1
8619,270,1,10152_1
8621,189,1,10155_1
8621,313,1,10161_1
8621,337,1,10163_1
8621,364,1,10166_1
8621,427,1,10169_1
8621,489,1,10171_1
8622,191,1,10174_1
8624,234,1,10196_1
8624,348,1,10199_1
8624,261,1,10202_1
8625,251,1,10208_1
8625,509,1,10211_1
8625,519,1,10213_1
8626,361,1,10217_1
8626,409,1,10220_1
8626,454,1,10222_1
8626,968,1,10225_1
8627,258,1,10228_1
8627,338,1,10231_1
8627,407,1,10234_1
8635,452,1,10250_1
8646,185,1,10285_1
8663,327,1,10318_1
8737,199,1,10414_1
8847,316,1,10554_1
8847,316,1,10554_2
8847,316,1,10554_3
8856,348,1,10570_1
8861,203,1,10573_1
8861,203,1,10573_2
8861,203,1,10573_3
8861,737,1,10577_1
8864,184,1,10596_1
8879,279,1,10622_1
8879,387,1,10625_1
8881,458,1,10628_1
8881,458,1,10628_2
8881,458,1,10628_3
8897,246,1,10634_1
8897,246,1,10634_2
8897,246,1,10634_3
8950,5967,1,10702_1
8950,5967,1,10702_2
8950,5967,1,10702_3
8950,5967,1,10702_4
8983,202,1,10761_1
8983,202,1,10761_2
8983,202,1,10761_3
8983,202,1,10761_4
8983,362,1,10764_1
8983,362,1,10764_2
8983,362,1,10764_3
8983,362,1,10764_4
8989,268,1,10770_1
8989,268,1,10770_2
8989,268,1,10770_3
8989,268,1,10770_4
8989,328,1,10772_1
8989,328,1,10772_2
8989,328,1,10772_3
8989,328,1,10772_4
8990,2008,1,10779_1
8990,2008,1,10779_2
8990,2008,1,10779_3
8990,2008,1,10779_4
8990,2008,1,10779_5
8990,2008,1,10779_6
8990,2008,1,10779_7
8990,2008,1,10779_8
8990,2008,1,10779_9
8990,2008,1,10779_10
8990,2008,1,10779_11
8990,2008,1,10779_12
8991,198,1,10785_1
8994,27935,1,10797_1
8994,27935,1,10797_2
8994,27935,1,10797_3
8994,27935,1,10799_1
8994,27935,1,10799_2
8994,27935,1,10799_3
8995,27934,1,10805_1
8995,27934,1,10805_2
8995,27934,1,10807_1
8995,27934,1,10807_2
9017,197,1,10844_1
9017,197,1,10844_2
9017,197,1,10844_3
9022,224,1,10858_1
9022,331,1,10860_1
9022,481,1,10863_1
9027,644,1,10868_1
9032,27897,1,10886_1
