trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,3071,260,6,144.0,sim,0,3071,3331,3331,260,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,3081,250,6,145.0,sim,0,3081,3331,3331,250,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,3038,323,6,141.0,sim,0,3038,3361,3361,323,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,3092,267,6,146.0,sim,0,3241,3508,3508,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,3114,267,6,148.0,sim,0,3271,3538,3538,267,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,3125,267,6,149.0,sim,0,3271,3538,3538,267,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,3170,268,6,152.0,sim,0,3301,3569,3569,268,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,3191,268,6,154.0,sim,0,3331,3599,3599,268,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,3136,328,6,150.0,sim,0,3301,3629,3629,328,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,3213,268,6,156.0,sim,0,3361,3629,3629,268,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
