trace,arrival,lifespan,cores,ram,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,6033,4098.0,1.0,2.0,116.0,sim,0,6033,10131.0,10131,4098,cloud50_node_12
trace,6023,4111.0,2.0,3.5,115.0,sim,0,6023,10134.0,10134,4111,cloud50_node_18
trace,6841,3535.0,8.0,14.0,152.0,sim,0,6841,10376.0,10376,3535,cloud50_node_10
trace,6850,3529.0,1.0,2.0,154.0,sim,0,6850,10379.0,10379,3529,cloud50_node_16
trace,6833,3547.0,8.0,14.0,151.0,sim,0,6833,10380.0,10380,3547,cloud50_node_10
trace,6825,3559.0,8.0,14.0,149.0,sim,0,6825,10384.0,10384,3559,cloud50_node_19
trace,6818,3570.0,1.0,2.0,148.0,sim,0,6818,10388.0,10388,3570,cloud50_node_16
trace,6809,3595.0,8.0,14.0,146.0,sim,0,6809,10404.0,10404,3595,cloud50_node_19
trace,6802,3612.0,8.0,14.0,145.0,sim,0,6802,10414.0,10414,3612,cloud50_node_19
trace,6793,3649.0,8.0,14.0,143.0,sim,0,6793,10442.0,10442,3649,cloud50_node_16
trace,6785,3685.0,1.0,2.0,142.0,sim,0,6785,10470.0,10470,3685,cloud50_node_16
trace,6777,3721.0,1.0,2.0,140.0,sim,0,6777,10498.0,10498,3721,cloud50_node_16
trace,6764,3757.0,4.0,7.0,139.0,sim,0,6764,10521.0,10521,3757,cloud50_node_13
trace,6756,3787.0,1.0,2.0,137.0,sim,0,6756,10543.0,10543,3787,cloud50_node_13
trace,6746,3817.0,8.0,14.0,136.0,sim,0,6746,10563.0,10563,3817,cloud50_node_16
trace,6737,3847.0,1.0,2.0,134.0,sim,0,6737,10584.0,10584,3847,cloud50_node_13
trace,6729,3858.0,2.0,3.5,133.0,sim,0,6729,10587.0,10587,3858,cloud50_node_13
trace,7480,3493.0,8.0,14.0,158.0,sim,0,7480,10973.0,10973,3493,cloud50_node_11
trace,7492,3487.0,1.0,2.0,160.0,sim,0,7492,10979.0,10979,3487,cloud50_node_10
trace,7458,3523.0,2.0,3.5,155.0,sim,0,7458,10981.0,10981,3523,cloud50_node_16
trace,7472,3511.0,1.0,2.0,157.0,sim,0,7472,10983.0,10983,3511,cloud50_node_13
trace,7500,3488.0,8.0,14.0,161.0,sim,0,7500,10988.0,10988,3488,cloud50_node_02
trace,7525,3463.0,1.0,2.0,166.0,sim,0,7525,10988.0,10988,3463,cloud50_node_14
trace,7509,3480.0,2.0,3.5,163.0,sim,0,7509,10989.0,10989,3480,cloud50_node_10
trace,7573,3416.0,2.0,3.5,175.0,sim,0,7573,10989.0,10989,3416,cloud50_node_14
trace,7517,3475.0,2.0,3.5,164.0,sim,0,7517,10992.0,10992,3475,cloud50_node_10
trace,7565,3427.0,1.0,2.0,173.0,sim,0,7565,10992.0,10992,3427,cloud50_node_14
trace,7581,3415.0,1.0,2.0,176.0,sim,0,7581,10996.0,10996,3415,cloud50_node_14
trace,7534,3464.0,2.0,3.5,167.0,sim,0,7534,10998.0,10998,3464,cloud50_node_14
trace,7541,3457.0,1.0,2.0,169.0,sim,0,7541,10998.0,10998,3457,cloud50_node_10
trace,7589,3409.0,1.0,2.0,178.0,sim,0,7589,10998.0,10998,3409,cloud50_node_13
trace,7549,3458.0,2.0,3.5,170.0,sim,0,7549,11007.0,11007,3458,cloud50_node_10
trace,7557,3450.0,1.0,2.0,172.0,sim,0,7557,11007.0,11007,3450,cloud50_node_14
trace,8337,3188.0,2.0,3.5,205.0,sim,0,8337,11525.0,11525,3188,cloud50_node_11
trace,8300,3229.0,1.0,2.0,199.0,sim,0,8300,11529.0,11529,3229,cloud50_node_08
trace,8329,3206.0,2.0,3.5,203.0,sim,0,8329,11535.0,11535,3206,cloud50_node_14
trace,8321,3218.0,2.0,3.5,202.0,sim,0,8321,11539.0,11539,3218,cloud50_node_14
trace,8313,3229.0,1.0,2.0,200.0,sim,0,8313,11542.0,11542,3229,cloud50_node_11
trace,8268,3284.0,1.0,2.0,193.0,sim,0,8268,11552.0,11552,3284,cloud50_node_11
trace,8276,3278.0,8.0,14.0,194.0,sim,0,8276,11554.0,11554,3278,cloud50_node_14
trace,8284,3271.0,2.0,3.5,196.0,sim,0,8284,11555.0,11555,3271,cloud50_node_11
trace,8292,3265.0,2.0,3.5,197.0,sim,0,8292,11557.0,11557,3265,cloud50_node_11
trace,8245,3324.0,4.0,7.0,188.0,sim,0,8245,11569.0,11569,3324,cloud50_node_11
trace,8253,3321.0,2.0,3.5,190.0,sim,0,8253,11574.0,11574,3321,cloud50_node_11
trace,8260,3314.0,2.0,3.5,191.0,sim,0,8260,11574.0,11574,3314,cloud50_node_11
trace,8221,3354.0,1.0,2.0,184.0,sim,0,8221,11575.0,11575,3354,cloud50_node_01
trace,8229,3349.0,4.0,7.0,185.0,sim,0,8229,11578.0,11578,3349,cloud50_node_13
trace,8237,3342.0,2.0,3.5,187.0,sim,0,8237,11579.0,11579,3342,cloud50_node_13
trace,8213,3376.0,1.0,2.0,182.0,sim,0,8213,11589.0,11589,3376,cloud50_node_01
trace,8197,3400.0,1.0,2.0,179.0,sim,0,8197,11597.0,11597,3400,cloud50_node_01
trace,8205,3392.0,1.0,2.0,181.0,sim,0,8205,11597.0,11597,3392,cloud50_node_01
