timestamp,nodes_owned,nodes_cur_cap,nodes_in_use,nodes_indemand,jobs_waiting,jobs_running,jobs_completed,jobs_cancelled,jobs_failed
32473,49,49,0,0,0,0,396,0,0
32484,49,49,0,0,0,0,396,0,0
32494,49,49,0,0,0,0,396,0,0
32505,49,49,6,0,0,1,396,0,0
32516,49,49,12,0,0,2,396,0,0
32526,49,49,18,0,0,3,396,0,0
32537,49,49,24,0,0,4,396,0,0
32548,49,49,24,0,0,4,396,0,0
32558,49,49,30,0,0,5,396,0,0
32569,49,49,36,0,0,6,396,0,0
32580,49,49,42,0,0,7,396,0,0
32590,49,49,42,0,0,7,396,0,0
32601,49,49,48,0,0,8,396,0,0
32612,49,49,48,0,0,8,396,0,0
32622,49,49,48,6,1,8,396,0,0
32633,49,49,48,12,2,8,396,0,0
32643,49,49,48,12,2,8,396,0,0
32654,49,49,48,18,3,8,396,0,0
32665,49,49,48,30,5,8,396,0,0
32676,49,49,48,30,5,8,396,0,0
32686,49,49,48,36,6,8,396,0,0
32697,49,49,48,42,7,8,396,0,0
32707,49,49,48,48,8,8,396,0,0
32718,49,49,48,48,8,8,396,0,0
32729,49,49,48,50,9,8,396,0,0
32739,49,43,43,51,10,8,397,0,0
32750,49,49,49,45,9,9,397,0,0
32761,49,49,49,46,10,9,397,0,0
32772,49,49,49,40,9,9,398,0,0
32783,49,49,49,40,9,9,398,0,0
32793,49,49,49,40,9,9,398,0,0
32804,49,49,49,28,7,9,400,0,0
32815,49,49,49,28,7,9,400,0,0
32825,49,49,49,28,7,9,400,0,0
32836,49,49,49,10,4,9,403,0,0
32847,49,49,49,10,4,9,403,0,0
32857,49,49,49,10,4,9,403,0,0
32868,49,49,49,10,4,9,403,0,0
32879,49,49,49,10,4,9,403,0,0
32889,49,49,49,10,4,9,403,0,0
32900,49,49,49,10,4,9,403,0,0
32911,49,49,49,10,4,9,403,0,0
32921,49,49,49,10,4,9,403,0,0
32932,49,49,49,10,4,9,403,0,0
32943,49,49,49,10,4,9,403,0,0
32953,49,49,49,10,4,9,403,0,0
32964,49,49,49,10,4,9,403,0,0
32975,49,49,49,10,4,9,403,0,0
32986,49,49,49,4,3,9,404,0,0
32996,49,49,49,4,3,9,404,0,0
33007,49,48,48,4,3,8,405,0,0
33018,49,49,48,4,3,8,405,0,0
33028,49,49,48,4,3,8,405,0,0
33039,49,49,48,4,3,8,405,0,0
33050,49,49,48,4,3,8,405,0,0
33060,49,49,48,4,3,8,405,0,0
33071,49,49,46,0,0,10,406,0,0
33082,49,49,46,0,0,10,406,0,0
33092,49,49,46,0,0,10,406,0,0
33103,49,49,28,0,0,7,409,0,0
33114,49,49,28,0,0,7,409,0,0
33124,49,49,28,0,0,7,409,0,0
33135,49,49,22,0,0,6,410,0,0
33146,49,49,22,0,0,6,410,0,0
33157,49,49,22,0,0,6,410,0,0
33167,49,49,22,0,0,6,410,0,0
33178,49,49,22,0,0,6,410,0,0
33189,49,49,22,0,0,6,410,0,0
33200,49,49,22,0,0,6,410,0,0
33210,49,49,22,0,0,6,410,0,0
33221,49,49,16,0,0,5,411,0,0
33232,49,49,16,0,0,5,411,0,0
33243,49,49,16,0,0,5,411,0,0
33254,49,49,4,0,0,3,413,0,0
33264,49,49,4,0,0,3,413,0,0
33275,49,49,4,0,0,3,413,0,0
33286,49,49,4,0,0,3,413,0,0
33297,49,49,4,0,0,3,413,0,0
33307,49,49,4,0,0,3,413,0,0
33318,49,49,4,0,0,3,413,0,0
33329,49,49,4,0,0,3,413,0,0
33339,49,47,2,0,0,1,415,0,0
33350,49,49,2,0,0,1,415,0,0
33361,49,49,2,0,0,1,415,0,0
33371,49,49,2,0,0,1,415,0,0
33382,49,49,2,0,0,1,415,0,0
33393,49,49,2,0,0,1,415,0,0
33403,49,49,2,0,0,1,415,0,0
33414,49,49,2,0,0,1,415,0,0
33425,49,49,2,0,0,1,415,0,0
33436,49,49,2,0,0,1,415,0,0
33446,49,49,2,0,0,1,415,0,0
33457,49,47,0,0,0,0,416,0,0
33468,49,49,0,0,0,0,416,0,0
33478,49,49,0,0,0,0,416,0,0
33489,49,49,0,0,0,0,416,0,0
33500,49,49,0,0,0,0,416,0,0
33511,49,49,0,0,0,0,416,0,0
33522,49,49,0,0,0,0,416,0,0
33532,49,49,0,0,0,0,416,0,0
33543,49,49,0,0,0,0,416,0,0
33554,49,49,0,0,0,0,416,0,0
33564,49,49,0,0,0,0,416,0,0
33575,49,49,0,0,0,0,416,0,0
33586,49,49,0,0,0,0,416,0,0
33597,49,49,0,0,0,0,416,0,0
33607,49,49,0,0,0,0,416,0,0
33618,49,49,0,0,0,0,416,0,0
33629,49,49,0,0,0,0,416,0,0
33639,49,49,0,0,0,0,416,0,0
33650,49,49,0,0,0,0,416,0,0
33661,49,49,0,0,0,0,416,0,0
33671,49,49,0,0,0,0,416,0,0
33682,49,49,0,0,0,0,416,0,0
33693,49,49,0,0,0,0,416,0,0
33704,49,49,0,0,0,0,416,0,0
