original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,ram,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
7549,3458.0,2.0,3.5,170.0,7549,2.0,11007,3458,2.0
7557,3450.0,1.0,2.0,172.0,7557,1.0,11007,3450,1.0
8337,3188.0,2.0,3.5,205.0,8337,2.0,11525,3188,2.0
8300,3229.0,1.0,2.0,199.0,8300,1.0,11529,3229,1.0
8329,3206.0,2.0,3.5,203.0,8329,2.0,11535,3206,2.0
8321,3218.0,2.0,3.5,202.0,8321,2.0,11539,3218,2.0
8313,3229.0,1.0,2.0,200.0,8313,1.0,11542,3229,1.0
8268,3284.0,1.0,2.0,193.0,8268,1.0,11552,3284,1.0
8276,3278.0,8.0,14.0,194.0,8276,8.0,11554,3278,8.0
8284,3271.0,2.0,3.5,196.0,8284,2.0,11555,3271,2.0
8292,3265.0,2.0,3.5,197.0,8292,2.0,11557,3265,2.0
8245,3324.0,4.0,7.0,188.0,8245,4.0,11569,3324,4.0
8253,3321.0,2.0,3.5,190.0,8253,2.0,11574,3321,2.0
8260,3314.0,2.0,3.5,191.0,8260,2.0,11574,3314,2.0
8221,3354.0,1.0,2.0,184.0,8221,1.0,11575,3354,1.0
8229,3349.0,4.0,7.0,185.0,8229,4.0,11578,3349,4.0
8237,3342.0,2.0,3.5,187.0,8237,2.0,11579,3342,2.0
8213,3376.0,1.0,2.0,182.0,8213,1.0,11589,3376,1.0
8197,3400.0,1.0,2.0,179.0,8197,1.0,11597,3400,1.0
8205,3392.0,1.0,2.0,181.0,8205,1.0,11597,3392,1.0
9066,3024.0,1.0,2.0,229.0,9066,1.0,12090,3024,1.0
9074,3018.0,4.0,7.0,230.0,9074,4.0,12092,3018,4.0
9041,3063.0,2.0,3.5,224.0,9041,2.0,12104,3063,2.0
9050,3054.0,8.0,14.0,226.0,9050,8.0,12104,3054,8.0
8985,3122.0,1.0,2.0,214.0,8985,1.0,12107,3122,1.0
9057,3050.0,1.0,2.0,227.0,9057,1.0,12107,3050,1.0
9017,3092.0,8.0,14.0,220.0,9017,8.0,12109,3092,8.0
9001,3110.0,4.0,7.0,217.0,9001,4.0,12111,3110,4.0
9025,3086.0,4.0,7.0,221.0,9025,4.0,12111,3086,4.0
8993,3121.0,1.0,2.0,215.0,8993,1.0,12114,3121,1.0
8953,3166.0,2.0,3.5,208.0,8953,2.0,12119,3166,2.0
9010,3109.0,1.0,2.0,218.0,9010,1.0,12119,3109,1.0
9033,3086.0,2.0,3.5,223.0,9033,2.0,12119,3086,2.0
8969,3152.0,1.0,2.0,211.0,8969,1.0,12121,3152,1.0
8961,3163.0,1.0,2.0,209.0,8961,1.0,12124,3163,1.0
8977,3151.0,1.0,2.0,212.0,8977,1.0,12128,3151,1.0
8945,3187.0,2.0,3.5,206.0,8945,2.0,12132,3187,2.0
9779,2893.0,8.0,14.0,250.0,9779,8.0,12672,2893,8.0
9803,2870.0,4.0,7.0,254.0,9803,4.0,12673,2870,4.0
9769,2905.0,2.0,3.5,248.0,9769,2.0,12674,2905,2.0
9762,2918.0,4.0,7.0,247.0,9762,4.0,12680,2918,4.0
9787,2893.0,1.0,2.0,251.0,9787,1.0,12680,2893,1.0
9706,2977.0,1.0,2.0,236.0,9706,1.0,12683,2977,1.0
9795,2888.0,2.0,3.5,253.0,9795,2.0,12683,2888,2.0
9714,2972.0,1.0,2.0,238.0,9714,1.0,12686,2972,1.0
9746,2941.0,8.0,14.0,244.0,9746,8.0,12687,2941,8.0
9698,2990.0,2.0,3.5,235.0,9698,2.0,12688,2990,2.0
9722,2966.0,2.0,3.5,239.0,9722,2.0,12688,2966,2.0
9731,2959.0,1.0,2.0,241.0,9731,1.0,12690,2959,1.0
9754,2936.0,1.0,2.0,245.0,9754,1.0,12690,2936,1.0
9738,2955.0,4.0,7.0,242.0,9738,4.0,12693,2955,4.0
9682,3013.0,1.0,2.0,232.0,9682,1.0,12695,3013,1.0
9690,3008.0,8.0,14.0,233.0,9690,8.0,12698,3008,8.0
10427,2808.0,8.0,14.0,259.0,10427,8.0,13235,2808,8.0
10411,2843.0,1.0,2.0,256.0,10411,1.0,13254,2843,1.0
10419,2839.0,4.0,7.0,257.0,10419,4.0,13258,2839,4.0
10537,2808.0,2.0,3.5,280.0,10537,2.0,13345,2808,2.0
10521,2827.0,4.0,7.0,277.0,10521,4.0,13348,2827,4.0
10529,2828.0,8.0,14.0,278.0,10529,8.0,13357,2828,8.0
10513,2863.0,1.0,2.0,275.0,10513,1.0,13376,2863,1.0
10506,2874.0,8.0,14.0,274.0,10506,8.0,13380,2874,8.0
10482,2911.0,2.0,3.5,269.0,10482,2.0,13393,2911,2.0
10498,2901.0,4.0,7.0,272.0,10498,4.0,13399,2901,4.0
10490,2912.0,1.0,2.0,271.0,10490,1.0,13402,2912,1.0
10475,2928.0,1.0,2.0,268.0,10475,1.0,13403,2928,1.0
10466,2959.0,4.0,7.0,266.0,10466,4.0,13425,2959,4.0
10458,2971.0,1.0,2.0,265.0,10458,1.0,13429,2971,1.0
10450,2996.0,1.0,2.0,263.0,10450,1.0,13446,2996,1.0
10442,3013.0,1.0,2.0,262.0,10442,1.0,13455,3013,1.0
10434,3026.0,4.0,7.0,260.0,10434,4.0,13460,3026,4.0
11276,2508.0,8.0,14.0,302.0,11276,8.0,13784,2508,8.0
11284,2508.0,2.0,3.5,304.0,11284,2.0,13792,2508,2.0
11267,2533.0,4.0,7.0,301.0,11267,4.0,13800,2533,4.0
11292,2508.0,1.0,2.0,305.0,11292,1.0,13800,2508,1.0
11251,2569.0,1.0,2.0,298.0,11251,1.0,13820,2569,1.0
11259,2563.0,2.0,3.5,299.0,11259,2.0,13822,2563,2.0
11214,2616.0,8.0,14.0,292.0,11214,8.0,13830,2616,8.0
11223,2616.0,1.0,2.0,293.0,11223,1.0,13839,2616,1.0
11230,2611.0,8.0,14.0,295.0,11230,8.0,13841,2611,8.0
11243,2604.0,2.0,3.5,296.0,11243,2.0,13847,2604,2.0
11191,2689.0,2.0,3.5,289.0,11191,2.0,13880,2689,2.0
11202,2683.0,1.0,2.0,290.0,11202,1.0,13885,2683,1.0
11163,2736.0,2.0,3.5,284.0,11163,2.0,13899,2736,2.0
11171,2731.0,1.0,2.0,286.0,11171,1.0,13902,2731,1.0
11155,2754.0,2.0,3.5,283.0,11155,2.0,13909,2754,2.0
11183,2731.0,1.0,2.0,287.0,11183,1.0,13914,2731,1.0
11146,2790.0,1.0,2.0,281.0,11146,1.0,13936,2790,1.0
11944,2442.0,2.0,3.5,313.0,11944,2.0,14386,2442,2.0
11955,2436.0,4.0,7.0,314.0,11955,4.0,14391,2436,4.0
11963,2437.0,2.0,3.5,316.0,11963,2.0,14400,2437,2.0
11978,2425.0,1.0,2.0,317.0,11978,1.0,14403,2425,1.0
11991,2412.0,1.0,2.0,319.0,11991,1.0,14403,2412,1.0
12012,2394.0,2.0,3.5,322.0,12012,2.0,14406,2394,2.0
11906,2503.0,2.0,3.5,307.0,11906,2.0,14409,2503,2.0
12003,2407.0,1.0,2.0,320.0,12003,1.0,14410,2407,1.0
12021,2389.0,8.0,14.0,323.0,12021,8.0,14410,2389,8.0
12031,2382.0,8.0,14.0,325.0,12031,8.0,14413,2382,8.0
11924,2490.0,2.0,3.5,310.0,11924,2.0,14414,2490,2.0
12038,2377.0,1.0,2.0,326.0,12038,1.0,14415,2377,1.0
11916,2502.0,4.0,7.0,308.0,11916,4.0,14418,2502,4.0
11931,2491.0,2.0,3.5,311.0,11931,2.0,14422,2491,2.0
12048,2375.0,1.0,2.0,328.0,12048,1.0,14423,2375,1.0
12058,2371.0,1.0,2.0,329.0,12058,1.0,14429,2371,1.0
12818,2197.0,4.0,7.0,349.0,12818,4.0,15015,2197,4.0
12797,2221.0,4.0,7.0,346.0,12797,4.0,15018,2221,4.0
12769,2251.0,2.0,3.5,343.0,12769,2.0,15020,2251,2.0
12827,2197.0,2.0,3.5,350.0,12827,2.0,15024,2197,2.0
12738,2287.0,2.0,3.5,340.0,12738,2.0,15025,2287,2.0
12805,2221.0,8.0,14.0,347.0,12805,8.0,15026,2221,8.0
12717,2312.0,1.0,2.0,337.0,12717,1.0,15029,2312,1.0
12779,2251.0,2.0,3.5,344.0,12779,2.0,15030,2251,2.0
12750,2281.0,1.0,2.0,341.0,12750,1.0,15031,2281,1.0
12669,2365.0,4.0,7.0,331.0,12669,4.0,15034,2365,4.0
12730,2304.0,1.0,2.0,338.0,12730,1.0,15034,2304,1.0
12677,2358.0,1.0,2.0,332.0,12677,1.0,15035,2358,1.0
12700,2340.0,1.0,2.0,335.0,12700,1.0,15040,2340,1.0
12691,2353.0,4.0,7.0,334.0,12691,4.0,15044,2353,4.0
13552,2029.0,2.0,3.5,368.0,13552,2.0,15581,2029,2.0
13560,2023.0,1.0,2.0,370.0,13560,1.0,15583,2023,1.0
13573,2011.0,8.0,14.0,371.0,13573,8.0,15584,2011,8.0
13540,2050.0,2.0,3.5,367.0,13540,2.0,15590,2050,2.0
13450,2148.0,2.0,3.5,353.0,13450,2.0,15598,2148,2.0
13519,2088.0,1.0,2.0,364.0,13519,1.0,15607,2088,1.0
13441,2167.0,1.0,2.0,352.0,13441,1.0,15608,2167,1.0
13460,2149.0,8.0,14.0,355.0,13460,8.0,15609,2149,8.0
13481,2130.0,1.0,2.0,358.0,13481,1.0,15611,2130,1.0
13488,2125.0,1.0,2.0,359.0,13488,1.0,15613,2125,1.0
13501,2112.0,1.0,2.0,361.0,13501,1.0,15613,2112,1.0
13509,2107.0,1.0,2.0,362.0,13509,1.0,15616,2107,1.0
13529,2089.0,2.0,3.5,365.0,13529,2.0,15618,2089,2.0
13473,2148.0,2.0,3.5,356.0,13473,2.0,15621,2148,2.0
14284,1801.0,1.0,2.0,392.0,14284,1.0,16085,1801,1.0
14292,1795.0,8.0,14.0,394.0,14292,8.0,16087,1795,8.0
14276,1825.0,2.0,3.5,391.0,14276,2.0,16101,1825,2.0
14245,1861.0,4.0,7.0,385.0,14245,4.0,16106,1861,4.0
14261,1848.0,1.0,2.0,388.0,14261,1.0,16109,1848,1.0
14269,1842.0,1.0,2.0,389.0,14269,1.0,16111,1842,1.0
14253,1861.0,4.0,7.0,386.0,14253,4.0,16114,1861,4.0
14238,1896.0,1.0,2.0,383.0,14238,1.0,16134,1896,1.0
14213,1939.0,1.0,2.0,379.0,14213,1.0,16152,1939,1.0
14230,1926.0,2.0,3.5,382.0,14230,2.0,16156,1926,2.0
14221,1939.0,1.0,2.0,380.0,14221,1.0,16160,1939,1.0
14205,1969.0,1.0,2.0,377.0,14205,1.0,16174,1969,1.0
14197,1987.0,1.0,2.0,376.0,14197,1.0,16184,1987,1.0
14181,2005.0,1.0,2.0,373.0,14181,1.0,16186,2005,1.0
14189,1999.0,1.0,2.0,374.0,14189,1.0,16188,1999,1.0
15027,1620.0,8.0,14.0,419.0,15027,8.0,16647,1620,8.0
15002,1651.0,8.0,14.0,415.0,15002,8.0,16653,1651,8.0
15010,1644.0,1.0,2.0,416.0,15010,1.0,16654,1644,1.0
15018,1639.0,8.0,14.0,418.0,15018,8.0,16657,1639,8.0
14980,1698.0,2.0,3.5,410.0,14980,2.0,16678,1698,2.0
14901,1782.0,1.0,2.0,395.0,14901,1.0,16683,1782,1.0
14987,1699.0,2.0,3.5,412.0,14987,2.0,16686,1699,2.0
14941,1746.0,1.0,2.0,403.0,14941,1.0,16687,1746,1.0
14995,1692.0,1.0,2.0,413.0,14995,1.0,16687,1692,1.0
14972,1717.0,2.0,3.5,409.0,14972,2.0,16689,1717,2.0
14925,1765.0,1.0,2.0,400.0,14925,1.0,16690,1765,1.0
14910,1782.0,4.0,7.0,397.0,14910,4.0,16692,1782,4.0
14949,1746.0,2.0,3.5,404.0,14949,2.0,16695,1746,2.0
14933,1765.0,1.0,2.0,401.0,14933,1.0,16698,1765,1.0
14918,1782.0,1.0,2.0,398.0,14918,1.0,16700,1782,1.0
14957,1746.0,1.0,2.0,406.0,14957,1.0,16703,1746,1.0
14964,1741.0,8.0,14.0,407.0,14964,8.0,16705,1741,8.0
15759,1284.0,1.0,2.0,445.0,15759,1.0,17043,1284,1.0
15766,1288.0,1.0,2.0,446.0,15766,1.0,17054,1288,1.0
15743,1321.0,1.0,2.0,442.0,15743,1.0,17064,1321,1.0
15751,1316.0,1.0,2.0,443.0,15751,1.0,17067,1316,1.0
15735,1352.0,4.0,7.0,440.0,15735,4.0,17087,1352,4.0
15728,1382.0,1.0,2.0,439.0,15728,1.0,17110,1382,1.0
15720,1435.0,8.0,14.0,437.0,15720,8.0,17155,1435,8.0
15712,1447.0,2.0,3.5,436.0,15712,2.0,17159,1447,2.0
15704,1484.0,1.0,2.0,434.0,15704,1.0,17188,1484,1.0
15696,1496.0,8.0,14.0,433.0,15696,8.0,17192,1496,8.0
15681,1520.0,1.0,2.0,430.0,15681,1.0,17201,1520,1.0
15689,1512.0,8.0,14.0,431.0,15689,8.0,17201,1512,8.0
15650,1567.0,2.0,3.5,424.0,15650,2.0,17217,1567,2.0
15673,1544.0,2.0,3.5,428.0,15673,2.0,17217,1544,2.0
15642,1580.0,2.0,3.5,422.0,15642,2.0,17222,1580,2.0
15666,1556.0,1.0,2.0,427.0,15666,1.0,17222,1556,1.0
15635,1591.0,1.0,2.0,421.0,15635,1.0,17226,1591,1.0
15658,1569.0,8.0,14.0,425.0,15658,8.0,17227,1569,8.0
16477,1013.0,1.0,2.0,467.0,16477,1.0,17490,1013,1.0
16484,1006.0,2.0,3.5,469.0,16484,2.0,17490,1006,2.0
16469,1033.0,2.0,3.5,466.0,16469,2.0,17502,1033,2.0
16462,1050.0,4.0,7.0,464.0,16462,4.0,17512,1050,4.0
16454,1065.0,1.0,2.0,463.0,16454,1.0,17519,1065,1.0
16446,1082.0,1.0,2.0,461.0,16446,1.0,17528,1082,1.0
16439,1092.0,2.0,3.5,460.0,16439,2.0,17531,1092,2.0
16415,1126.0,1.0,2.0,455.0,16415,1.0,17541,1126,1.0
16423,1118.0,8.0,14.0,457.0,16423,8.0,17541,1118,8.0
16407,1136.0,8.0,14.0,454.0,16407,8.0,17543,1136,8.0
16391,1158.0,1.0,2.0,451.0,16391,1.0,17549,1158,1.0
16431,1118.0,2.0,3.5,458.0,16431,2.0,17549,1118,2.0
16399,1154.0,4.0,7.0,452.0,16399,4.0,17553,1154,4.0
16383,1211.0,8.0,14.0,449.0,16383,8.0,17594,1211,8.0
16375,1240.0,2.0,3.5,448.0,16375,2.0,17615,1240,2.0
17184,850.0,4.0,7.0,484.0,17184,4.0,18034,850,4.0
17163,877.0,2.0,3.5,481.0,17163,2.0,18040,877,2.0
17175,868.0,2.0,3.5,482.0,17175,2.0,18043,868,2.0
17192,851.0,1.0,2.0,485.0,17192,1.0,18043,851,1.0
17205,841.0,1.0,2.0,487.0,17205,1.0,18046,841,1.0
17145,908.0,1.0,2.0,478.0,17145,1.0,18053,908,1.0
17226,833.0,8.0,14.0,490.0,17226,8.0,18059,833,8.0
17214,848.0,1.0,2.0,488.0,17214,1.0,18062,848,1.0
17239,826.0,1.0,2.0,491.0,17239,1.0,18065,826,1.0
17155,911.0,1.0,2.0,479.0,17155,1.0,18066,911,1.0
17106,961.0,1.0,2.0,472.0,17106,1.0,18067,961,1.0
17136,931.0,2.0,3.5,476.0,17136,2.0,18067,931,2.0
17126,943.0,2.0,3.5,475.0,17126,2.0,18069,943,2.0
17118,955.0,8.0,14.0,473.0,17118,8.0,18073,955,8.0
17252,823.0,2.0,3.5,493.0,17252,2.0,18075,823,2.0
17098,991.0,2.0,3.5,470.0,17098,2.0,18089,991,2.0
17872,818.0,2.0,3.5,494.0,17872,2.0,18690,818,2.0
17889,811.0,1.0,2.0,496.0,17889,1.0,18700,811,1.0
17898,810.0,1.0,2.0,497.0,17898,1.0,18708,810,1.0
17906,806.0,1.0,2.0,499.0,17906,1.0,18712,806,1.0
17914,807.0,1.0,2.0,500.0,17914,1.0,18721,807,1.0
17922,799.0,1.0,2.0,502.0,17922,1.0,18721,799,1.0
17930,799.0,2.0,3.5,503.0,17930,2.0,18729,799,2.0
17954,775.0,4.0,7.0,508.0,17954,4.0,18729,775,4.0
17938,793.0,8.0,14.0,505.0,17938,8.0,18731,793,8.0
17962,775.0,1.0,2.0,509.0,17962,1.0,18737,775,1.0
17946,795.0,1.0,2.0,506.0,17946,1.0,18741,795,1.0
17969,775.0,8.0,14.0,511.0,17969,8.0,18744,775,8.0
17979,774.0,2.0,3.5,512.0,17979,2.0,18753,774,2.0
18594,769.0,2.0,3.5,514.0,18594,2.0,19363,769,2.0
18608,768.0,1.0,2.0,515.0,18608,1.0,19376,768,1.0
18620,764.0,1.0,2.0,517.0,18620,1.0,19384,764,1.0
18630,763.0,2.0,3.5,518.0,18630,2.0,19393,763,2.0
18646,763.0,1.0,2.0,520.0,18646,1.0,19409,763,1.0
18668,757.0,2.0,3.5,521.0,18668,2.0,19425,757,2.0
18686,757.0,1.0,2.0,523.0,18686,1.0,19443,757,1.0
18695,757.0,8.0,14.0,524.0,18695,8.0,19452,757,8.0
18706,762.0,1.0,2.0,526.0,18706,1.0,19468,762,1.0
18719,753.0,2.0,3.5,527.0,18719,2.0,19472,753,2.0
18733,751.0,1.0,2.0,529.0,18733,1.0,19484,751,1.0
18747,745.0,2.0,3.5,530.0,18747,2.0,19492,745,2.0
19527,543.0,2.0,3.5,560.0,19527,2.0,20070,543,2.0
19452,624.0,4.0,7.0,547.0,19452,4.0,20076,624,4.0
19460,621.0,1.0,2.0,548.0,19460,1.0,20081,621,1.0
19504,577.0,1.0,2.0,556.0,19504,1.0,20081,577,1.0
19487,595.0,2.0,3.5,553.0,19487,2.0,20082,595,2.0
19512,570.0,8.0,14.0,557.0,19512,8.0,20082,570,8.0
19496,588.0,4.0,7.0,554.0,19496,4.0,20084,588,4.0
19519,565.0,1.0,2.0,559.0,19519,1.0,20084,565,1.0
19472,613.0,1.0,2.0,550.0,19472,1.0,20085,613,1.0
19479,607.0,1.0,2.0,551.0,19479,1.0,20086,607,1.0
19444,643.0,2.0,3.5,545.0,19444,2.0,20087,643,2.0
19432,660.0,1.0,2.0,544.0,19432,1.0,20092,660,1.0
19424,672.0,1.0,2.0,542.0,19424,1.0,20096,672,1.0
19357,744.0,1.0,2.0,532.0,19357,1.0,20101,744,1.0
19417,684.0,1.0,2.0,541.0,19417,1.0,20101,684,1.0
19364,745.0,1.0,2.0,533.0,19364,1.0,20109,745,1.0
19407,703.0,1.0,2.0,539.0,19407,1.0,20110,703,1.0
19377,738.0,1.0,2.0,535.0,19377,1.0,20115,738,1.0
19391,727.0,1.0,2.0,536.0,19391,1.0,20118,727,1.0
19399,720.0,2.0,3.5,538.0,19399,2.0,20119,720,2.0
20205,409.0,1.0,2.0,575.0,20205,1.0,20614,409,1.0
