timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
131,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,154056,3144,0
132,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,155232,3168,0
133,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,156408,3192,0
134,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,157584,3216,0
135,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,158760,3240,0
136,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,159936,3264,0
137,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,161112,3288,0
138,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,162288,3312,0
139,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,163464,3336,0
140,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,164640,3360,0
141,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,165816,3384,0
142,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,166992,3408,0
143,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,168168,3432,0
144,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,169344,3456,0
145,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,170520,3480,0
146,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,171696,3504,0
147,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,172872,3528,0
148,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,174048,3552,0
149,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,175224,3576,0
150,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,176400,3600,0
151,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,177576,3624,0
152,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,178752,3648,0
153,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,179928,3672,0
154,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,181104,3696,0
155,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,182280,3720,0
156,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,183456,3744,0
157,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,184632,3768,0
158,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,185808,3792,0
159,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,186984,3816,0
160,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,188160,3840,0
161,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,189336,3864,0
162,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,190512,3888,0
163,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,191688,3912,0
164,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,192864,3936,0
165,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,194040,3960,0
166,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,195216,3984,0
167,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,196392,4008,0
168,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,197568,4032,0
169,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,198744,4056,0
170,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,199920,4080,0
171,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,201096,4104,0
172,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,202272,4128,0
173,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,203448,4152,0
174,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,204624,4176,0
175,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,205800,4200,0
176,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,206976,4224,0
177,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,208152,4248,0
178,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,209328,4272,0
