timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
24060,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11548800,1130820.0,3179616.0
24061,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11549280,1130867.0,3179616.0
24062,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11549760,1130914.0,3179616.0
24063,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11550240,1130961.0,3179616.0
24064,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11550720,1131008.0,3179616.0
24065,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11551200,1131055.0,3179616.0
24066,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11551680,1131102.0,3179616.0
24067,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11552160,1131149.0,3179616.0
24068,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11552640,1131196.0,3179616.0
24069,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11553120,1131243.0,3179616.0
24070,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11553600,1131290.0,3179616.0
24071,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11554080,1131337.0,3179616.0
24072,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11554560,1131384.0,3179616.0
24073,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11555040,1131431.0,3179616.0
24074,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11555520,1131478.0,3179616.0
24075,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11556000,1131525.0,3179616.0
24076,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11556480,1131572.0,3179616.0
24077,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11556960,1131619.0,3179616.0
24078,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11557440,1131666.0,3179616.0
24079,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11557920,1131713.0,3179616.0
24080,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11558400,1131760.0,3179616.0
24081,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11558880,1131807.0,3179616.0
24082,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11559360,1131854.0,3179616.0
24083,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11559840,1131901.0,3179616.0
24084,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11560320,1131948.0,3179616.0
24085,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11560800,1131995.0,3179616.0
24086,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11561280,1132042.0,3179616.0
24087,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11561760,1132089.0,3179616.0
24088,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11562240,1132136.0,3179616.0
24089,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11562720,1132183.0,3179616.0
24090,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11563200,1132230.0,3179616.0
24091,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11563680,1132277.0,3179616.0
24092,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11564160,1132324.0,3179616.0
24093,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11564640,1132371.0,3179616.0
24094,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11565120,1132418.0,3179616.0
24095,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11565600,1132465.0,3179616.0
24096,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11566080,1132512.0,3179616.0
24097,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11566560,1132559.0,3179616.0
24098,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11567040,1132606.0,3179616.0
24099,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11567520,1132653.0,3179616.0
24100,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11568000,1132700.0,3179616.0
24101,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11568480,1132747.0,3179616.0
24102,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11568960,1132794.0,3179616.0
24103,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11569440,1132841.0,3179616.0
24104,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11569920,1132888.0,3179616.0
24105,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11570400,1132935.0,3179616.0
24106,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11570880,1132982.0,3179616.0
24107,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11571360,1133029.0,3179616.0
24108,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11571840,1133076.0,3179616.0
24109,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11572320,1133123.0,3179616.0
24110,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11572800,1133170.0,3179616.0
24111,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11573280,1133217.0,3179616.0
24112,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11573760,1133264.0,3179616.0
24113,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11574240,1133311.0,3179616.0
24114,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11574720,1133358.0,3179616.0
24115,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11575200,1133405.0,3179616.0
24116,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11575680,1133452.0,3179616.0
24117,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11576160,1133499.0,3179616.0
24118,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11576640,1133546.0,3179616.0
24119,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11577120,1133593.0,3179616.0
24120,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11577600,1133640.0,3179616.0
24121,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11578080,1133687.0,3179616.0
24122,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11578560,1133734.0,3179616.0
24123,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11579040,1133781.0,3179616.0
